name,state,established,stamp_index,coordinates,latitude,longitude
VICTORIA,Arkansas,1933,1,True,35.7567431,-90.0559239
VILLA TASSO,Florida,1931,2,True,30.4601983,-86.3880029
VILLAS,New Jersey,1931,0,True,39.0177129,-74.9357872
VOCATION,Alabama,1927,4,True,31.2640604,-87.4327622
WACCABUC,New York,1944,1,True,41.2908124,-73.5953133
WADMALAW ISLAND,South Carolina,1939,0,True,32.658236,-80.1714855
WAGARVILLE,Alabama,1957,0,True,31.4425785,-88.0304327
WALKER,Georgia,1924,5,True,31.5404516,-84.3149103
WALKER PARK,Georgia,1922,2,True,33.8370571,-83.7348962
WALKER TOWN,Louisiana,1926,4,True,29.8902059,-90.1136844
WALLACE,South Carolina,1950,0,True,34.7201566,-79.8414522
WALLACE RIDGE,Louisiana,1930,1,True,31.7096126,-91.8273506
WALLEN PAUPACK,Pennsylvania,1929,3,True,41.408145,-75.2276772
WALTREAK,Arkansas,1925,1,True,34.9839819,-93.6124159
WARDEN,Louisiana,1933,0,True,32.5373618,-91.4973401
WARNER ROBINS,Georgia,1942,0,True,32.5950098,-83.6408731
WARSAW,Georgia,1925,2,True,31.5899409,-81.4951072
WATERLOO,Arkansas,1927,1,True,33.5431739,-93.2460019
WATERVILLE VALLEY,New Hampshire,1922,4,True,43.9500695,-71.4995204
WATKINS GLEN,New York,1926,0,True,42.3791075,-76.8723555
WATROUS,Pennsylvania,1921,1,True,41.7435414,-77.5778129
WATTS BAR DAM,Tennessee,1940,1,True,35.6211827,-84.7877217
WATTSVILLE,Alabama,1929,0,True,33.6521267,-86.2779553
WAWAYANDA,New York,1935,4,True,41.2503717,-74.3107068
WAXHAW,Mississippi,1927,1,True,33.9176085,-90.9692737
WEARE,New Hampshire,1959,0,True,43.0891487,-71.7302242
WEBB,Louisiana,1925,2,True,31.7321134,-91.9462422
WELA PARK,Missouri,1938,1,True,36.8745107,-94.5555004
WESCONNETT,Florida,1941,1,True,30.2469064,-81.7303751
WEST BAINBRIDGE,Georgia,1945,1,True,30.9174103,-84.5888036
WEST BRIDPORT,Vermont,1976,7,True,43.9567244,-73.3959548
WEST COLUMBIA,South Carolina,1938,1,True,33.9918203,-81.0700936
WEST CONCORD,Massachusetts,1928,1,True,42.4578024,-71.3951166
WEST ENTERPRISE,Mississippi,1931,1,True,32.1723696,-88.8250488
WEST FORKS,Maine,1966,0,True,45.3396361,-69.9707943
WEST FROSTPROOF,Florida,1925,2,True,27.733641,-81.5831327
WEST GILGO BEACH,New York,1941,1,True,40.6128794,-73.4195681
WEST HAMBURG,Pennsylvania,1925,1,True,40.5475928,-76.0021567
WEST HELENA,Arkansas,1963,0,True,34.5468782,-90.6461396
WEST ISLIP,New York,1958,0,True,40.7087467,-73.2972548
WEST LAWN,Pennsylvania,1929,1,True,40.3298147,-75.994381
WEST LINE,Arkansas,1922,4,True,34.0156687,-94.4718766
WEST MIFFLIN,Pennsylvania,1964,1,True,40.3813435,-79.8765302
WEST NEW YORK,New Jersey,1925,0,True,40.7856287,-74.0193235
WEST SPRINGFIELD,Massachusetts,1930,0,True,42.1062155,-72.6215275
WEST TRENTON,New Jersey,1925,1,True,40.2645754,-74.8189375
WEST WARWICK,Rhode Island,1925,0,True,41.7021325,-71.5261913
WESTPORT FACTORY,Massachusetts,1927,4,True,41.6389921,-71.0494861
WEWAHOTEE,Florida,1933,2,True,28.4211163,-81.0942303
WHEATLEY,Arkansas,1931,0,True,34.9135526,-91.1081405
WHITEHALL,Pennsylvania,1968,0,True,40.6439081,-75.4852739
WHITESBOG,New Jersey,1923,1,True,39.9592825,-74.5093194
WILDWOOD,New York,1936,2,True,40.9645426,-72.8120455
WILLEY HOUSE,New Hampshire,1937,1,True,44.1478449,-71.3697977
WILLINGBORO,New Jersey,1964,0,True,40.0310702,-74.8945524
WILLISTON PARK,New York,1958,0,True,40.7556384,-73.644454
WILSON DAM,Alabama,1934,3,True,34.7759216,-87.6519729
WINDHAM,Maine,1985,0,True,43.8365919,-70.4381503
WINDHAM,New Hampshire,1956,0,True,42.8053746,-71.292943
WINDSOR,Maine,1948,0,True,44.3112209,-69.5809098
WINDY HILL BEACH,South Carolina,1950,1,True,33.8160058,-78.680016
WINDYVILLE,Missouri,1921,0,True,37.7067063,-92.9271277
WING,Alabama,1955,0,True,31.0290095,-86.6100801
WINNWOOD,Missouri,1922,5,True,39.1752811,-94.5246762
WINSTONVILLE,Mississippi,1951,0,True,33.9108361,-90.7499879
WINTER BEACH,Florida,1925,0,True,27.7191964,-80.4206071
WITHERBEE,South Carolina,1927,2,True,33.161836,-79.8298003
WITHLA,Florida,1928,3,True,28.3400078,-81.8709116
WITT,Tennessee,1924,3,True,36.1500934,-83.2829452
WOLF RIVER,Tennessee,1928,1,True,36.5417358,-84.9602244
WOLFDALE,Pennsylvania,1927,1,True,40.1928489,-80.2878393
WOODLAND,Alabama,1934,0,True,33.3745335,-85.3993741
WOODMERE,Florida,1922,4,True,27.020614,-82.3906512
WOODSIDE,Louisiana,1930,1,True,30.8432419,-91.8201169
WOOLSEY,Arkansas,1928,1,True,35.8853589,-94.1754828
WORTHAM,Missouri,1925,1,True,37.8444949,-90.6087375
WORTHINGTON SPRINGS,Florida,1967,0,True,29.9306344,-82.4238715
WRIGHT,Arkansas,1938,0,True,34.4352197,-92.0658986
WYMAN DAM,Maine,1930,1,True,45.0706113,-69.8911705
YANKEETOWN,Florida,1926,0,True,29.033495,-82.7098244
YORK,Maine,1950,0,True,43.1339958,-70.6409843
YORK RUN,Pennsylvania,1947,1,True,39.8325765,-79.779493
YORKTOWN,Arkansas,1943,0,True,34.0213963,-91.8158751
ZEBEDEE,Louisiana,1935,2,True,32.4062553,-91.6848457
ZENITH,Tennessee,1921,3,True,36.4275744,-84.7368861
ZYLKS,Louisiana,1936,1,True,33.001801,-94.0115699
ACCESS,Kentucky,1921,1,True,38.2092493,-83.0710052
ACME,Michigan,1952,0,True,44.7646438,-85.5061286
ACUP,West Virginia,1922,2,True,38.3620455,-81.3420605
ADALAND,West Virginia,1923,4,True,39.2087065,-80.0767482
ADD,Kentucky,1923,1,True,37.9103711,-82.5520974
AGATE,Michigan,1926,4,True,46.4741667,-89.0702778
AH-GWAH-CHING,Minnesota,1922,0,True,47.06944,-94.57167
AKELEY,Minnesota,1927,0,True,47.0040125,-94.7285911
ALCOAL,West Virginia,1923,4,True,37.922606,-81.6862266
ALLAIS,Kentucky,1922,1,True,37.2658667,-83.1837142
ALLEN JUNCTION,West Virginia,1930,0,True,37.5884897,-81.3520182
ALLEN PARK,Michigan,1957,0,True,42.2578008,-83.2138705
ALLENDALE,Michigan,1954,0,True,42.9710154,-85.9435066
ALLNUTT,Virginia,1922,1,True,38.3081829,-77.1058092
ALLOWAY,Virginia,1923,2,True,36.9115086,-81.1575933
ALLOY,West Virginia,1931,0,True,38.1376675,-81.2747435
ALTA,West Virginia,1951,1,True,38.2073289,-81.1773298
ALVA,Kentucky,1922,1,True,36.7348309,-83.4242095
AMBURGEY,Kentucky,1938,0,True,37.270591,-82.9806859
AMONATE,Virginia,1926,0,True,37.193112,-81.633665
ANATOL,Minnesota,1921,3,True,47.0013889,-92.35
ANCO,Kentucky,1922,0,True,37.2489725,-83.0550806
ANGLE INLET,Minnesota,1936,0,True,49.3454936,-95.070419
ANJEAN,West Virginia,1927,1,True,38.0201174,-80.6331417
APPLE,Kentucky,1926,3,True,37.894389,-83.4171529
ARDEN,Delaware,1950,2,True,39.8092794,-75.4865866
ARDENTOWN,Delaware,1925,3,True,39.808446,-75.4829752
ARDERY,Kentucky,1922,2,True,37.3359124,-84.0930545
ARGONNE,Wisconsin,1921,0,True,45.6586616,-88.8824616
ARNETT,Kentucky,1927,1,True,37.4109649,-83.5678413
ARODA,Virginia,1922,0,True,38.3265187,-78.2322256
ARTHURDALE,West Virginia,1935,0,True,39.4942362,-79.8149768
ARTHURMABEL,Kentucky,1925,1,True,37.595096,-82.9473876
ASHEBORO,North Carolina,1923,0,True,35.6926543,-79.8188828
ASHERS FORK,Kentucky,1940,1,True,37.0084218,-83.5954696
ATLANTIC BEACH,North Carolina,1936,0,True,34.6990505,-76.7402108
AURA,Michigan,1921,1,True,46.8627778,-88.3186111
AURORAVILLE,Wisconsin,1941,1,True,44.0519247,-88.9926156
AVENUE,Maryland,1922,0,True,38.259964,-76.7664849
BACOVA,Virginia,1922,0,True,38.0546319,-79.8423834
BADGER,Wisconsin,1948,1,True,43.3710972,-89.7731792
BAMFIELD,Michigan,1922,5,True,44.575,-83.7986111
BANDYTOWN,West Virginia,1947,1,True,37.9406619,-81.6406699
BARDO,Kentucky,1929,1,True,36.7603165,-83.3432979
BARK CAMP,Kentucky,1931,1,True,36.9131392,-84.254102
BARNYARD,Kentucky,1926,1,True,36.9131092,-83.7407986
BARRETT,West Virginia,1925,1,True,37.8862181,-81.6670586
BARRIDGE,Kentucky,1928,1,True,37.2046276,-83.0393724
BASE LINE,Michigan,1927,1,True,42.45,-83.025
BASYE,Virginia,1927,0,True,38.8070218,-78.7894042
BAVON,Virginia,1935,0,True,37.3334711,-76.2882747
BAYPORT,Minnesota,1922,0,True,45.0180556,-92.7791667
BAYSIDE,Virginia,1949,1,True,36.8955954,-76.1426148
BEAR BRANCH,Kentucky,1923,0,True,37.1635439,-83.5493152
BEARTOWN,West Virginia,1955,1,True,37.386223,-81.8115036
BEARVILLE,Kentucky,1952,1,True,37.3686359,-83.0674697
BEAUMONT,Virginia,1933,1,True,37.6654244,-77.9080525
BEAUTY,Kentucky,1929,0,True,37.8384845,-82.4402973
BEAVER,West Virginia,1935,0,True,37.7502406,-81.1375265
BEECH,Kentucky,1925,1,True,37.3698135,-83.4287939
BEECHMONT,Kentucky,1950,0,True,37.171837,-87.0343378
BEECHVILLE,Kentucky,1925,1,True,37.0614451,-85.6327463
BEELICK KNOB,West Virginia,1926,1,True,37.8742835,-80.8673131
BELFRY,Kentucky,1926,0,True,37.6229427,-82.2671192
BELL FARM,Kentucky,1925,1,True,36.6712705,-84.6730778
BELLAMY,Virginia,1938,0,True,37.399031,-76.5685635
BELLBURN,West Virginia,1921,1,True,38.0417827,-80.7331458
BELO,West Virginia,1921,2,True,37.7742668,-82.2376387
BELTON,Kentucky,1926,0,True,37.1600432,-87.0283296
BEN HUR,Virginia,1921,0,True,36.7322374,-83.0833249
BENET LAKE,Wisconsin,1945,1,True,42.4980748,-88.0817506
BENITO,Kentucky,1929,2,True,36.9011029,-83.1292741
BERTIS,Kentucky,1926,1,True,38.0255338,-83.4625262
BETHANNA,Kentucky,1928,0,True,37.7753683,-83.1835079
BETHANY,Kentucky,1928,0,True,37.6506723,-83.4732959
BETHESDA,Maryland,1981,0,True,38.9784922,-77.0917627
BETTY,Kentucky,1950,1,True,37.4503317,-82.8396199
BEULAH BEACH,Ohio,1925,1,True,41.392547,-82.4415558
BEULAH HEIGHTS,Kentucky,1929,0,True,36.804246,-84.4393827
BEVERLY SHORES,Indiana,1935,0,True,41.6747661,-86.9792575
BIG BRANCH,Kentucky,1936,1,True,37.3058333,-82.4763889
BIG FORK,Kentucky,1938,1,True,37.0524972,-83.2526319
BIG LAUREL,Kentucky,1925,0,True,36.9784168,-83.2188539
BIG ROCK,Kentucky,1932,1,True,37.0347524,-83.2140413
BIG RUN,West Virginia,1922,1,True,39.5845271,-80.5773125
BIG WOODS,Kentucky,1925,1,True,37.9898276,-83.476524
BIGCOAL,West Virginia,1922,2,True,38.251208,-81.7954035
BIGGS,Kentucky,1945,1,True,37.4128351,-82.2570418
BIM,West Virginia,1927,0,True,37.922606,-81.6862266
BIRCH BEACH,Michigan,1927,4,True,43.2019716,-82.5124228
BIRD HAVEN,Virginia,1929,1,True,38.8198348,-78.7908546
BISCUIT,Kentucky,1923,1,True,37.3739739,-82.6384455
BISHOP,Virginia,1930,0,True,37.2002416,-81.5549084
BITELY,Michigan,1949,0,True,43.7460969,-85.8603233
BLACK SNAKE,Kentucky,1923,3,True,36.7681415,-83.5032471
BLACKBERRY CITY,West Virginia,1949,1,True,37.6114936,-82.166523
BLACKHAWK,Illinois,1948,1,True,42.1875191,-90.2240177
BLACKHOOF,Minnesota,1921,5,True,46.5327778,-92.4619444
BLAIR,Kentucky,1941,1,True,36.9891683,-82.9541145
BLAIRS,Virginia,1927,0,True,36.6878597,-79.3688481
BLANEY PARK,Michigan,1936,1,True,46.1155556,-85.9269444
BLEDSOE,Kentucky,1930,0,True,36.9242774,-83.366665
BLOMKEST,Minnesota,1928,0,True,44.9427111,-95.0237658
BLOOMFIELD HILLS,Michigan,1929,0,True,42.6191668,-83.2456235
BLOUNT,West Virginia,1946,1,True,38.3212122,-81.429562
BLOWING SPRINGS,Kentucky,1922,1,True,37.348108,-86.0852489
BLUE CREEK,Ohio,1933,0,True,38.7775738,-83.330186
BLUE GRASS,Virginia,1945,0,True,38.4986438,-79.5515024
BLUE HERON,Kentucky,1946,1,True,36.6714661,-84.5454949
BLUE MOON,Kentucky,1938,1,True,37.5075996,-82.6976572
BLUE PENNANT,West Virginia,1945,1,True,37.9709402,-81.5595569
BLUEFIELD,Virginia,1924,0,True,37.2528875,-81.2700959
BLUESTONE,West Virginia,1926,1,True,37.3120607,-81.3178787
BOB WHITE,West Virginia,1944,0,True,37.9534382,-81.7184504
BOIS FORT,Minnesota,1922,4,True,48.1193304,-93.3015783
BOONEVILLE,Iowa,1971,0,True,41.5239876,-93.8842975
BOOTH,West Virginia,1926,1,True,39.5967492,-80.0128452
BOTTO,Kentucky,1924,1,True,37.0872112,-83.677754
BOTTOM,North Carolina,1928,2,True,36.4745397,-80.7741505
BOWLIN,West Virginia,1921,2,True,37.9892785,-81.1153794
BRADLEY,West Virginia,1948,0,True,37.8668619,-81.1937831
BRADY,West Virginia,1921,2,True,39.5750828,-80.0539591
BRADYLAKE,Ohio,1924,1,True,41.1595008,-81.3170507
BRAMLETT,Kentucky,1925,2,True,37.1620048,-85.4619094
BRANCH,Michigan,1958,1,True,43.9464639,-86.038523
BRANCH,Michigan,1962,0,True,43.9464551,-86.0993743
BRANDY,Virginia,1924,1,True,38.5011132,-77.8966685
BREEDEN,West Virginia,1931,0,True,37.9259837,-82.2581825
BREEZY POINT,Minnesota,1941,1,True,46.61667,-94.21667
BRENTON,West Virginia,1947,0,True,37.5956053,-81.6348731
BRIS,Virginia,1928,1,True,38.264019,-78.5450142
BRITT,Minnesota,1950,0,True,47.6407568,-92.5251787
BROAD BOTTOM,Kentucky,1924,1,True,37.5342661,-82.5929316
BROHARD,West Virginia,1923,1,True,39.0361928,-81.1773368
BROOKLYN,West Virginia,1930,1,True,37.9909458,-81.0487102
BROOKSIDE,Kentucky,1930,1,True,36.8597331,-83.2527634
BROWNS FORK,Kentucky,1946,0,True,37.2371833,-83.2335806
BROWNTON,West Virginia,1923,1,True,39.2200937,-80.1500839
BRUNO,West Virginia,1952,0,True,37.6915114,-81.8691064
BRUNSWICK,North Carolina,1926,0,True,34.2878808,-78.702123
BRYCE MOUNTAIN,Virginia,1969,3,True,38.8070573,-78.7922437
BUCKINGHAM,Kentucky,1946,1,True,37.3649407,-82.7317161
BUCKLES,Virginia,1922,2,True,36.8159241,-82.9573863
BUCKNELL,Iowa,1921,2,True,41.0661136,-93.0443692
BULPITT,Illinois,1924,0,True,39.5917159,-89.4239811
BUNNY BLUE,Virginia,1925,1,True,36.8270338,-83.0682238
BURG,Kentucky,1924,1,True,37.7275512,-83.2671171
BURGESS,Virginia,1950,0,True,37.8826177,-76.3456949
BURNETTSVILLE,Indiana,1922,0,True,40.7616996,-86.5920357
BURNING FORK,Kentucky,1928,0,True,37.7334263,-83.0232243
BURNTSIDE,Minnesota,1923,4,True,47.8944444,-91.9286111
BURNWELL,Kentucky,1949,0,True,37.6303417,-82.2207665
BURRIS,Kentucky,1929,3,True,37.6537104,-82.3050099
BUSKIRK,Kentucky,1925,0,True,37.8120323,-83.3335131
BUSY,Kentucky,1924,0,True,37.27706,-83.2917327
BUTNER,North Carolina,1948,0,True,36.1350637,-78.7598316
BUTTERS,North Carolina,1928,0,True,34.5604454,-78.8483571
BYPRO,Kentucky,1926,0,True,37.35939,-82.72107
CABINS,West Virginia,1935,0,True,38.99514,-79.21298
CAIRO,Ohio,1922,0,True,40.83213,-84.08188
CALLAWAY,Maryland,1932,0,True,38.22475,-76.51861
CALSPAR,Michigan,1927,3,True,46.05694,-85.92694
CALUMET CITY,Illinois,1924,0,True,41.59902,-87.56398
CALVIN,Virginia,1924,1,True,36.85204,-82.94155
CAMDEN-WYOMING,Delaware,1962,0,True,39.11883,-75.55202
CAMEO,West Virginia,1936,1,True,38.11149,-81.93124
CAMP ALLEGHANY,West Virginia,1925,1,True,37.80234,-80.37396
CAMP DIX,Kentucky,1935,0,True,38.48602,-83.28735
CAMP RUN,West Virginia,1921,4,True,38.59705,-80.57315
CAMP TAYLOR,Kentucky,1922,1,True,38.19563,-85.71552
CAMPBELL,Ohio,1926,0,True,41.07673,-80.5942
CANADA CREEK,Michigan,1939,4,True,45.17196,-84.20806
CANDLEWAX,Virginia,1929,2,True,37.05428,-81.98235
CANNONS MIII,Kentucky,1922,1,True,36.68771,-85.09018
CAPAHOSIC,Virginia,1924,1,True,37.38098,-76.63301
CAPITO,Kentucky,1944,1,True,36.6148,-83.83105
CARBON GLOW,Kentucky,1923,1,True,37.17982,-82.95322
CARCASSONE,Kentucky,1939,1,True,37.17112,-82.99312
CARLSON,Michigan,1921,5,True,46.29167,-89.12556
CARR CREEK,Kentucky,1928,1,True,37.23121,-82.96794
CARY,Illinois,1927,0,True,42.21873,-88.25254
CATSUP,West Virginia,1922,6,True,37.70344,-82.16236
CEDAR ISLAND,North Carolina,1953,0,True,35.01659,-76.31679
CEDARHURST,Maryland,1934,1,True,39.49871,-76.88276
CHAD,Kentucky,1924,3,True,36.96969,-83.02319
CHANDLER,Ohio,1921,2,True,40.3084,-80.80397
CHARLTON HEIGHTS,West Virginia,1949,0,True,38.12388,-81.23408
CHARMCO,West Virginia,1928,0,True,38.00244,-80.73728
CHERRY CREEK,West Virginia,1943,1,True,37.67651,-81.10315
CHESTER GAP,Virginia,1954,0,True,38.85345,-78.135
CHESTNUT HILL,Virginia,1951,1,True,38.29929,-77.11081
CHISFORD,Virginia,1925,1,True,38.14291,-76.79996
CHRISTCHURCH,Virginia,1921,0,True,37.60486,-76.5344
CHRISTINE,Kentucky,1923,1,True,37.14229,-85.2069
CIRCLE PINES,Minnesota,1948,0,True,45.14486,-93.15402
CLAM LAKE,Wisconsin,1928,0,True,46.16415,-90.90542
CLAM RIVER,Michigan,1928,2,True,44.94528,-85.28028
CLAYPOOL,West Virginia,1923,2,True,37.8329,-80.87065
CLAYWELL,Kentucky,1921,1,True,36.81867,-85.28996
CLEARCO,West Virginia,1930,1,True,38.09345,-80.56925
CLELL,Virginia,1925,1,True,37.13789,-81.96763
CLEMONS,Kentucky,1924,1,True,37.2964,-83.23202
CLIFTON,Virginia,1940,0,True,38.78118,-77.38511
CLOSE,West Virginia,1922,2,True,39.1876,-80.03147
CLOSPLINT,Kentucky,1928,0,True,36.90592,-83.07352
CLOVER,West Virginia,1924,1,True,38.72704,-81.28484
COAL CITY,West Virginia,1930,0,True,37.68673,-81.21821
COAL MOUNTAIN,West Virginia,1943,0,True,37.68301,-81.72471
COBB ISLAND,Maryland,1927,0,True,38.2641,-76.84996
COE,Kentucky,1925,1,True,36.68339,-85.55025
COLDIRON,Kentucky,1925,0,True,36.82577,-83.45212
COLEMAN FALLS,Virginia,1966,0,True,37.50116,-79.30263
COLLINSVILLE,Virginia,1948,0,True,36.72551,-79.91692
COLLISTA,Kentucky,1927,1,True,37.78259,-82.82433
COLTONS POINT,Maryland,1936,0,True,38.22472,-76.75322
COLUMBIA  PARK,Ohio,1927,1,True,39.11173,-84.43466
COLUMBIA,Maryland,1977,0,True,39.18356,-76.82197
COMBS,Kentucky,1922,0,True,37.265,-83.2126
COMBS RIDGE,Virginia,1938,3,True,37.05372,-82.06319
CONAWAY,Virginia,1937,1,True,37.35233,-82.21181
CONGLETON,Kentucky,1925,1,True,37.55231,-83.71686
COOL RIDGE,West Virginia,1925,0,True,37.65168,-81.09674
COOLEY,Minnesota,1925,1,True,47.36327,-93.17853
COOPERATIVE,Kentucky,1922,0,True,36.68858,-84.62636
COPPER HARBOR,Michigan,1938,0,True,47.4677,-87.88838
CORN VALLEY,Virginia,1924,1,True,36.89983,-81.93485
CORNELLOUS,Kentucky,1925,3,True,37.3142,-84.00815
CORNETTE,Kentucky,1924,1,True,37.29314,-84.09271
CORTON,West Virginia,1926,1,True,38.48482,-81.26706
CORYELL ISLANDS,Michigan,1925,1,True,45.97167,-84.30139
COTTAGE HILLS,Illinois,1931,0,True,38.90281,-90.06952
COTTLE,Kentucky,1931,0,True,37.88898,-83.20379
COTTLE,West Virginia,1949,1,True,38.34622,-80.62676
COVEL,West Virginia,1921,0,True,37.49091,-81.3219
CRAG,West Virginia,1923,1,True,37.90845,-80.74981
CRAGLAND,West Virginia,1932,4,True,37.70271,-82.12795
CRAIG BEACH,Ohio,1936,2,True,41.117,-80.98342
CRAIG SPRINGS,Virginia,1954,1,True,37.48485,-80.292
CRANE,Indiana,1943,0,True,38.89169,-86.9026
CRANE LAKE,Minnesota,1922,0,True,48.26518,-92.4894
CREEKVILLE,Kentucky,1928,1,True,37.07772,-83.55008
CRESAPS,West Virginia,1922,6,True,39.84341,-80.81676
CREVE COEUR,Illinois,1931,2,True,40.64726,-89.59121
CRICHTON,West Virginia,1921,0,True,38.05623,-80.7162
CRITES,West Virginia,1922,1,True,37.79844,-81.76206
CROFTON,Maryland,1987,0,True,39.0098,-76.69993
CROWNSVILLE,Maryland,1937,0,True,39.03138,-76.60328
CRUMMMIES,Kentucky,1928,1,True,36.7743,-83.2039
CRYSTAL LAKE,Illinois,1924,0,True,42.22973,-88.30927
CULTON,Kentucky,1928,2,True,37.14005,-83.61126
CUMBERLAND,Kentucky,1926,0,True,36.97576,-82.98442
CUNDIFF,Kentucky,1925,0,True,36.94479,-85.2544
CURTIN,West Virginia,1943,1,True,38.47455,-80.36258
CUTUNO,Kentucky,1931,1,True,37.71815,-83.24323
DABOLT,Kentucky,1928,0,True,37.33814,-84.0266
DAILEY,West Virginia,1940,0,True,38.79652,-79.89923
DAIRYLAND,Wisconsin,1925,4,True,46.21605,-92.15547
DAKOTA,Kentucky,1927,3,True,37.19026,-83.1206
DAKOTA CITY,Iowa,1924,0,True,42.7212,-94.20166
DALESBURG,Kentucky,1923,1,True,37.34287,-83.53213
DARFORK,Kentucky,1927,1,True,37.28803,-83.18276
DARTMONT,West Virginia,1922,3,True,38.19149,-81.72234
DAVID,Kentucky,1941,0,True,37.59969,-82.89203
DAVIN,West Virginia,1924,0,True,37.73209,-81.82777
DAY,Kentucky,1937,1,True,37.07161,-82.84689
DAYHOLT,Kentucky,1921,0,True,36.83981,-83.37685
DAYLO,North Carolina,1924,2,True,36.28457,-81.3087
DAYSTROM,North Carolina,1942,1,True,34.72377,-79.31254
DE TOUR,Michigan,1953,1,True,45.99295,-83.90158
DE TOUR VILLAGE,Michigan,1961,0,True,45.99295,-83.90158
DEARBORN HEIGHTS,Michigan,1967,0,True,42.32755,-83.29737
DEBORD,Kentucky,1922,0,True,37.82648,-82.55126
DECIDE,Kentucky,1924,1,True,36.75562,-85.21164
DEEP GAP,North Carolina,1924,0,True,36.23894,-81.52379
DEER LICK,Kentucky,1934,1,True,37.14655,-83.94362
DEERTON,Michigan,1922,0,True,46.49323,-87.06882
DELBARTON,West Virginia,1924,0,True,37.71075,-82.18299
DELLA,Kentucky,1935,3,True,36.98933,-83.31347
DELLWOOD,Wisconsin,1927,1,True,43.98414,-89.93874
DELMAR,Maryland,1982,1,True,38.45595,-75.57742
DELTA,Wisconsin,1924,1,True,46.47272,-91.27019
DERBY,Virginia,1922,1,True,36.93565,-82.82627
DETROIT LAKES,Minnesota,1926,0,True,46.81984,-95.84784
DEUCHARS,Indiana,1925,1,True,38.17229,-86.44831
DEVON,West Virginia,1951,1,True,37.53733,-82.06263
DICKEYVILLE,Wisconsin,1934,0,True,42.62743,-90.59325
DIZNEY,Kentucky,1922,0,True,36.84802,-83.1049
DOES,Kentucky,1922,4,True,37.22736,-82.91787
DORA LAKE,Minnesota,1946,1,True,47.73861,-94.04
DOSTER,Michigan,1926,1,True,42.46722,-85.5425
DOUGLAS,Kentucky,1925,3,True,37.37922,-82.54214
DOUGLAS,West Virginia,1965,1,True,39.12705,-79.52061
DOUGLAS LODGE,Minnesota,1933,1,True,47.19028,-95.16389
DOWELL,Maryland,1926,0,True,38.33518,-76.4538
DRAPER,Kentucky,1924,1,True,36.86008,-83.20351
DRENNON SPRINGS,Kentucky,1922,2,True,38.50536,-85.05968
DRESSER,Indiana,1932,2,True,39.46254,-87.42363
DRESSER,Wisconsin,1940,0,True,45.35552,-92.63376
DROOP,West Virginia,1942,1,True,38.07706,-80.28507
DROP,Kentucky,1921,4,True,36.66408,-85.16149
DRUMMOND ISLAND,Michigan,1953,0,True,46.02032,-83.74373
DUBRE,Kentucky,1937,0,True,36.83895,-85.55858
DUESLER,Minnesota,1925,3,True,46.51194,-92.50833
DUKEHURST,Kentucky,1923,1,True,37.51088,-86.85777
DUKES,Michigan,1929,1,True,46.34778,-87.15806
DUNBAR,Virginia,1922,1,True,36.97399,-82.7471
DUNLAP,Kentucky,1947,1,True,37.42708,-82.24261
DUNLOUP,West Virginia,1925,3,True,37.90483,-81.15455
DUNRAVEN,Kentucky,1924,1,True,37.30545,-83.30322
DUNVILLA,Minnesota,1930,1,True,46.66306,-96.01583
EAGARVILLE,Illinois,1931,0,True,39.11169,-89.78349
EARLING,West Virginia,1928,1,True,37.7665,-81.9154
EAST BECKLEY,West Virginia,1925,1,True,37.77071,-81.16799
EAST DETROIT,Michigan,1929,0,True,42.46266,-82.95847
EAST GALESBURG,Illinois,1931,0,True,40.94324,-90.30815
EAST HARDIN,Illinois,1926,3,True,39.16005,-90.60901
EAST LUMBERTON,North Carolina,1936,1,True,34.61044,-78.99225
EAST MCDOWELL,Kentucky,1945,1,True,37.4476,-82.72516
EAST RAINELLE,West Virginia,1927,1,True,37.96873,-80.76703
EAST ROCKINGHAM,North Carolina,1924,1,True,34.91821,-79.76256
EASTBROOK,North Carolina,1922,3,True,34.276,-78.0486
EASTERN,Kentucky,1924,1,True,37.51704,-82.80599
EASTERN,Kentucky,1945,0,True,37.51704,-82.80599
EBERLE,Kentucky,1928,1,True,37.29953,-84.08021
EDEN,North Carolina,1968,0,True,36.51075,-79.73821
EDMONSTON,Maryland,1925,3,True,38.94678,-76.93109
EDNA,West Virginia,1942,1,True,39.57508,-80.05396
EDO,Kentucky,1924,1,True,37.48746,-82.28085
EDSEL,Kentucky,1929,1,True,38.11778,-82.90944
EIGHT,West Virginia,1926,3,True,37.26306,-81.60323
EKLUND,Michigan,1927,5,True,46.34556,-86.18444
EL VISTA,Illinois,1931,1,True,40.72893,-89.62927
ELDORADO,Wisconsin,1967,0,True,43.82075,-88.62452
ELDRETH,North Carolina,1922,2,True,36.50706,-81.55177
ELEANOR,West Virginia,1936,0,True,38.5329,-81.92068
ELFORD,West Virginia,1922,6,True,38.96064,-81.76874
ELKHORN CITY,Kentucky,1952,0,True,37.30307,-82.3517
ELKRIDGE,Maryland,2000,0,True,39.19058,-76.74778
ELMIRA,Ohio,1939,1,True,41.57922,-84.30828
ELVA,Kentucky,1921,1,True,36.92867,-88.47365
EMMETT,West Virginia,1925,1,True,37.68261,-81.82678
ENDLESS CAVERNS,Virginia,1929,2,True,38.59484,-78.67557
ENKA,North Carolina,1929,0,True,35.53882,-82.65193
ENOCH,Kentucky,1922,4,True,37.54342,-83.67547
